date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:31	41474/41474	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/index.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/index.html	(from )
09:00:32	194/194	---M-Z	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202024%2009:00:28%20GMT	https://www.di.fc.ul.pt/robots.txt		(from )
09:00:32	155/155	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/barbkgde.gif	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/barbkgde.gif	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:32	282/282	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/barrulee.gif	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/barrulee.gif	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:32	190/190	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/barbul1e.gif	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/barbul1e.gif	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:32	176/176	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/barbul2e.gif	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/barbul2e.gif	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:33	43225/43225	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/hg2c-2.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/hg2c-2.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:33	14791/14791	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/revolvings.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/revolvings.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:33	8638/8638	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/construction.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/construction.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:34	176/176	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/barbul3e.gif	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/barbul3e.gif	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:34	11667/11667	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/inertia.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/inertia.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:34	4401/4401	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/entropy.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/entropy.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:34	20267/20267	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/magnetic.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/magnetic.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:35	6358/6358	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/chaos.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/chaos.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:35	9554/9554	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/collision.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/collision.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:35	8425/8425	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/rotation.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/rotation.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
09:00:36	12930/12930	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2011:01:23%20GMT	https://www.di.fc.ul.pt/~jpn/cv/conditional.htm	C:/Users/jpn3t/Dropbox/My%20Work/My%20Web%20Sites/chess%20variants/www.di.fc.ul.pt/_jpn/cv/conditional.html	(from https://www.di.fc.ul.pt/~jpn/cv/index.htm)
